Test-focused sweep: runs=10000 / candidates=77616 (epochs=3, split_strategy=random, seed=42, split=70/15/15, train_max_samples=50000)
[129/10000] deep4  hidden=512,256,128,64           bs=1024 lr=0.0005 do=0.15 wd=0.0005 test_rmse=1.0790  test_acc=69.13%  (3.51s)
[130/10000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.0003 do=0.02 wd=1e-05  test_rmse=2.4963  test_acc=29.20%  (5.12s)
[131/10000] deep4  hidden=512,256,128,64           bs=2048 lr=0.0005 do=0.0  wd=0.0005 test_rmse=1.3363  test_acc=36.96%  (3.14s)
[132/10000] small3 hidden=128,64,32                bs=2048 lr=0.004  do=0.2  wd=0.001  test_rmse=1.0407  test_acc=59.05%  (2.35s)
[133/10000] big3   hidden=1024,512,256             bs=1024 lr=0.0007 do=0.15 wd=0.0005 test_rmse=0.9650  test_acc=70.68%  (5.03s)
[134/10000] small3 hidden=128,64,32                bs=8192 lr=0.002  do=0.0  wd=1e-06  test_rmse=4.4361  test_acc=0.00%  (2.89s)
[135/10000] big3   hidden=1024,512,256             bs=2048 lr=0.004  do=0.3  wd=1e-06  test_rmse=0.7799  test_acc=64.81%  (4.84s)
[136/10000] base2  hidden=256,128                  bs=2048 lr=0.0015 do=0.15 wd=0.001  test_rmse=1.5641  test_acc=43.83%  (2.55s)
[137/10000] base3  hidden=256,128,64               bs=1024 lr=0.002  do=0.1  wd=0.0    test_rmse=0.8246  test_acc=73.43%  (2.62s)
[138/10000] big3   hidden=1024,512,256             bs=2048 lr=0.002  do=0.05 wd=0.0001 test_rmse=0.8836  test_acc=60.59%  (4.85s)
[139/10000] base2  hidden=256,128                  bs=1024 lr=0.0025 do=0.0  wd=0.005  test_rmse=0.8980  test_acc=70.37%  (2.22s)
[140/10000] small2 hidden=128,64                   bs=1024 lr=0.0007 do=0.3  wd=0.005  test_rmse=1.7912  test_acc=30.67%  (2.21s)
[141/10000] big3   hidden=1024,512,256             bs=4096 lr=0.001  do=0.02 wd=1e-06  test_rmse=1.9698  test_acc=0.00%  (5.22s)
[142/10000] big4   hidden=1024,512,256,128         bs=1024 lr=0.0025 do=0.3  wd=0.0    test_rmse=0.6854  test_acc=70.31%  (5.35s)
[143/10000] big4   hidden=1024,512,256,128         bs=8192 lr=0.004  do=0.02 wd=0.001  test_rmse=1.2379  test_acc=40.18%  (5.56s)
[144/10000] base3  hidden=256,128,64               bs=1024 lr=0.004  do=0.3  wd=1e-06  test_rmse=0.8128  test_acc=69.87%  (2.73s)
[145/10000] deep4  hidden=512,256,128,64           bs=4096 lr=0.0007 do=0.05 wd=0.0005 test_rmse=2.2232  test_acc=11.36%  (3.85s)
[146/10000] wide3  hidden=512,256,128              bs=8192 lr=0.0025 do=0.15 wd=1e-06  test_rmse=1.4488  test_acc=19.88%  (3.87s)
[147/10000] tiny2  hidden=64,32                    bs=8192 lr=0.0003 do=0.2  wd=1e-05  test_rmse=12.8483  test_acc=0.00%  (2.78s)
[148/10000] base3  hidden=256,128,64               bs=4096 lr=0.004  do=0.02 wd=0.001  test_rmse=1.0669  test_acc=43.94%  (3.19s)
[149/10000] small3 hidden=128,64,32                bs=8192 lr=0.0003 do=0.2  wd=0.0005 test_rmse=12.7351  test_acc=0.00%  (2.94s)
[150/10000] big5   hidden=1024,512,256,128,64      bs=8192 lr=0.0025 do=0.2  wd=0.005  test_rmse=5.4462  test_acc=0.11%  (5.67s)
